Date,Close,High,Low,Open,Volume
2024-08-15,166.11135864257812,167.35714886831488,163.49520940425705,164.58766845275665,10752100
2024-08-16,164.9997100830078,166.1496791542057,163.51436017389483,165.1051234271188,5435700
2024-08-19,166.99298095703125,167.0504911118935,161.70318726197308,164.4151719789423,6708100
2024-08-20,164.9326629638672,168.1142045967088,164.0126904856858,166.60968439878204,6222400
2024-08-21,166.9546661376953,167.57755394172887,164.90390915726675,165.7759637808865,6309500
2024-08-22,161.95237731933594,167.30926013666001,161.35823718232473,167.0313601242585,6743500
2024-08-23,166.26470947265625,167.33799859524976,163.51439878477657,164.5972656236548,6823600
2024-08-26,162.4219207763672,165.1914011981975,161.50194833332654,164.79849553906212,7437600
2024-08-27,166.67674255371094,167.1654838288481,161.2527876886305,162.11524992804348,6498800
2024-08-28,164.6835174560547,168.39212604378028,162.55609472229054,167.108010230778,6534600
2024-08-29,162.4219207763672,169.0054228501981,161.8852616548217,166.18802460756442,12514200
2024-08-30,167.98963928222656,168.14297046884184,163.6772983603224,165.10515299608528,11110800
2024-09-03,156.43255615234375,164.9805717581186,155.24426147940142,164.7218272280292,11620300
2024-09-04,158.43539428710938,161.22404469826924,155.84799286975579,156.20255841519023,6737000
2024-09-05,157.68408203125,159.7069136797905,155.90207767233022,157.08687150748634,5600000
2024-09-06,152.37655639648438,157.19280755157632,151.35551350329,156.75934788722446,10703000
2024-09-09,154.8617706298828,156.4029624481404,152.74262269350695,155.17000311432048,7494900
2024-09-10,155.73829650878906,156.10433631454856,151.88529543100964,154.12004311117738,7918100
2024-09-11,160.43898010253906,160.76648170249905,153.397622213228,156.39333146729155,8275400
2024-09-12,158.9170379638672,160.19816268778092,156.91347548047057,159.78397209406697,6039200
2024-09-13,161.56594848632812,162.11500814367858,159.36011204248553,159.7165099055178,4049900
2024-09-16,160.48712158203125,161.1902901352438,157.77074887543398,158.86885355090197,6510000
2024-09-17,162.5003204345703,163.27092360357432,159.97660938666436,162.67371312916185,5828000
2024-09-18,162.1150360107422,166.08362272895826,161.53707992450143,163.29020260754024,5877600
2024-09-19,167.52847290039062,170.30263817777617,166.1510321704312,168.0100980000461,10900000
2024-09-20,162.7122344970703,166.70973195241888,158.26202293519657,166.34369214498068,27546400
2024-09-23,159.8610382080078,163.73329412095404,159.27345489315263,162.23062589228425,9810000
2024-09-24,160.8146209716797,163.13605752482098,159.88026708428308,161.2673497500278,9666800
2024-09-25,162.08612060546875,162.3943530366396,159.66835311713345,160.1692473530722,5095500
