Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2024-11-13,576.6821899414062,582.2899416634106,571.8798022986036,579.2772452314994,10757600
2024-11-14,573.8583374023438,577.4377800631241,569.7321138322568,573.6992793820006,11053700
2024-11-15,550.910400390625,569.2946185704093,548.3451422976771,567.9523048385856,17712900
2024-11-18,551.2285766601562,556.6971138862053,546.9432344613651,553.8534284072965,14327300
2024-11-19,557.8802490234375,558.2182700315069,547.4502072575692,548.7030089973512,9522400
2024-11-20,562.284912109375,563.1101203268514,551.0296618909093,559.7097017322158,9797300
2024-11-21,559.868896484375,566.7393414481576,545.9091728138703,566.2621066854078,11154700
2024-11-22,555.9415283203125,560.6047022245103,551.4175681293176,560.3262747981044,9164000
2024-11-25,561.8772583007812,569.3145100236936,553.2071704273792,558.8844673779386,13599800
2024-11-26,570.2590942382812,574.1964632618979,561.9668364413141,562.7622479761632,10356600
2024-11-27,565.9439697265625,571.6908743519631,560.8731072719025,571.601423170664,7200200
2024-11-29,571.03466796875,575.1510000832634,563.6571303183109,565.7450932068846,7130500
2024-12-02,589.438720703125,591.0991504414684,572.2774471807156,574.1963992934365,12522400
2024-12-03,610.1397094726562,610.6865511232141,587.8678218422003,591.5963703951107,14907200
2024-12-04,610.2689208984375,614.2460390304662,601.6385211482492,609.4536043990507,14697000
2024-12-05,605.44677734375,616.3540580544858,603.5775265080543,613.5501818009424,8081200
2024-12-06,620.2017822265625,626.1873039273537,605.0489714012239,606.6099369109293,16935500
2024-12-09,610.0601196289062,622.8167434326103,602.7024265777296,620.350888846341,11426000
2024-12-10,615.7772827148438,622.0114355661352,609.2349055981941,614.0273408137083,10938900
2024-12-11,629.060791015625,634.7481017123007,617.9746102226054,619.804050647096,10837200
2024-12-12,627.1815185546875,633.017934128409,623.6220417827839,627.887478818055,7474700
2024-12-13,616.8013305664062,627.4699920270454,613.3611619616729,623.6320266186848,8453300
2024-12-16,621.1697387695312,628.0457867533739,615.5376035416824,626.8814975325155,10885600
2024-12-17,616.393310546875,629.2597075495864,613.507549791668,623.0901898648054,12897800
2024-12-18,594.2527465820312,624.2743396016706,593.3870305020766,617.9456355913278,17075500
2024-12-19,592.6407470703125,608.512310503509,592.0735432784724,607.3878634532757,14958100
2024-12-20,582.3714599609375,600.143601343373,577.1472819775203,587.6752614717944,48989400
2024-12-23,596.899658203125,598.1336103729398,583.3665730831542,586.7000720639313,10205800
2024-12-24,604.7608032226562,604.9996130735921,596.3324917694366,599.7555139461255,4726100
2024-12-26,600.3824462890625,603.3179490935831,595.994163249834,602.5019749107529,6081400
2024-12-27,596.8598022460938,598.8897465400247,586.8990272114817,596.4617453720124,8084200
2024-12-30,588.3319091796875,594.0038852291777,582.6997752560201,585.8541662451341,7025900
2024-12-31,582.6302490234375,591.0486006579675,580.9783795227164,589.3570104919964,6019500
2025-01-02,596.2926635742188,601.9347590067932,584.9288491785778,586.8194676993116,12682300
2025-01-03,601.6561889648438,606.5022314682295,593.4765866809927,601.7855544308446,11436800
2025-01-06,627.1004638671875,627.8865565009487,602.6413400646944,608.8208189352832,14560800
2025-01-07,614.8508911132812,628.9909596335306,605.238370304145,628.5929634948924,12071500
2025-01-08,607.7161865234375,613.4080846789525,599.8251969713253,610.3830585744919,10085800
2025-01-10,612.8309326171875,626.811816790901,594.4020628949343,607.0296506844576,19256600
2025-01-13,605.3379516601562,605.9747576676493,595.5065414878209,604.1139601037415,10785000
2025-01-14,591.3272094726562,602.5119163465189,585.6552325061541,602.0939991024484,13598000
2025-01-15,614.084716796875,619.3984789584875,603.5169556717734,607.2087300599234,15524300
2025-01-16,608.2933959960938,613.2190622741323,606.7112501958828,608.4924244716136,8355300
2025-01-17,609.7561645507812,621.8961113451103,600.7008856525179,620.9806532892833,17280600
2025-01-21,613.427978515625,618.4431675349931,606.0146090104106,614.791235345522,11674000
2025-01-22,620.433349609375,630.5831936184607,616.3833603918935,620.2343211513619,12274000
2025-01-23,633.3197021484375,633.4689279487995,618.0949656788501,624.27438359991,9910200
2025-01-24,644.305419921875,648.7932479651176,631.0808064099955,633.2699982280365,19065300
2025-01-27,656.6344604492188,660.6048263723562,622.025492753922,623.5280757089856,28399200
2025-01-28,671.013427734375,679.2228513674787,656.2264682196907,662.7243805632816,20950100
2025-01-29,673.1627197265625,677.7002892439266,662.3959298804792,671.6800579089199,21377800
2025-01-30,683.6210327148438,707.294001197109,672.774619401076,693.3927409364592,29322900
2025-01-31,685.7903442382812,701.8310551092019,682.2080746968453,687.6014000766061,19303900
2025-02-03,694.0296020507812,700.5374135449807,671.9288188867163,672.5855459885331,21415700
2025-02-04,700.7265625,704.2292694079568,688.2084181057377,699.0448720510054,13826300
2025-02-05,701.4031982421875,714.6079511816394,695.5720343457091,700.0896831751202,17778200
2025-02-06,708.4880981445312,715.3641456188349,700.0398655613205,702.4081644926629,13080700
2025-02-07,711.005615234375,721.4440099000519,708.249220189881,713.2743693522815,16427100
2025-02-10,713.87158203125,717.6528800590577,707.8314292796238,715.0258499928055,12904300
2025-02-11,716.2596435546875,720.1006435254067,706.5476385055467,709.8115349418778,12998000
2025-02-12,721.8123168945312,723.5238281436095,709.0951445232752,711.7818770685368,12016500
